TTL,precise_time,approx_time
-6143.8125,1941520881,2023-10-30T17:40:18.481
-6143.8125,1941526371,2023-10-30T17:40:18.486
-6143.8125,1941531816,2023-10-30T17:40:18.491
-6143.8125,1941537296,2023-10-30T17:40:18.497
-6143.8125,1941542769,2023-10-30T17:40:18.502
-6143.8125,1941548216,2023-10-30T17:40:18.508
-6143.8125,1941553693,2023-10-30T17:40:18.513
-6143.8125,1941559207,2023-10-30T17:40:18.519
-6143.8125,1941564667,2023-10-30T17:40:18.524
-6143.8125,1941570143,2023-10-30T17:40:18.530
-6143.8125,1941575588,2023-10-30T17:40:18.535
-6143.8125,1941581073,2023-10-30T17:40:18.541
-6143.8125,1941586532,2023-10-30T17:40:18.546
-6143.8125,1941591966,2023-10-30T17:40:18.552
-6143.8125,1941597387,2023-10-30T17:40:18.557
-6143.8125,1941602922,2023-10-30T17:40:18.563
-6143.8125,1941608396,2023-10-30T17:40:18.568
-6143.8125,1941613829,2023-10-30T17:40:18.573
-6143.8125,1941619450,2023-10-30T17:40:18.579
-6143.8125,1941625459,2023-10-30T17:40:18.585
-6143.8125,1941631006,2023-10-30T17:40:18.591
-6143.8125,1941636499,2023-10-30T17:40:18.596
-6143.8125,1941642034,2023-10-30T17:40:18.602
-6143.8125,1941647557,2023-10-30T17:40:18.607
-6143.8125,1941653077,2023-10-30T17:40:18.613
-6143.8125,1941658633,2023-10-30T17:40:18.618
-6143.8125,1941664144,2023-10-30T17:40:18.624
-6143.8125,1941669596,2023-10-30T17:40:18.629
-6143.8125,1941675025,2023-10-30T17:40:18.635
-6143.8125,1941680512,2023-10-30T17:40:18.640
-6143.8125,1941685981,2023-10-30T17:40:18.646
-6143.8125,1941691413,2023-10-30T17:40:18.651
-6143.8125,1941696877,2023-10-30T17:40:18.657
-6143.8125,1941702412,2023-10-30T17:40:18.662
-6143.8125,1941707884,2023-10-30T17:40:18.668
-6143.8125,1941713320,2023-10-30T17:40:18.673
-6143.8125,1941718743,2023-10-30T17:40:18.678
-5586.375,1941724225,2023-10-30T17:40:18.684
-28.125,1941729703,2023-10-30T17:40:18.689
15.1875,1941735146,2023-10-30T17:40:18.695
1.6875,1941740664,2023-10-30T17:40:18.700
-81.375,1941746139,2023-10-30T17:40:18.706
-129.375,1941751623,2023-10-30T17:40:18.711
-136.875,1941757104,2023-10-30T17:40:18.717
-135.0,1941762616,2023-10-30T17:40:18.722
-173.625,1941768101,2023-10-30T17:40:18.728
177.5625,1941773536,2023-10-30T17:40:18.733
306.1875,1941778953,2023-10-30T17:40:18.739
-151.125,1941784430,2023-10-30T17:40:18.744
-164.625,1941789892,2023-10-30T17:40:18.750
-240.5625,1941795324,2023-10-30T17:40:18.755
-284.25,1941800864,2023-10-30T17:40:18.761
-283.3125,1941806365,2023-10-30T17:40:18.766
-291.0,1941811805,2023-10-30T17:40:18.771
-241.6875,1941817231,2023-10-30T17:40:18.777
-213.1875,1941822790,2023-10-30T17:40:18.782
-285.75,1941828289,2023-10-30T17:40:18.788
-247.3125,1941833773,2023-10-30T17:40:18.793
-216.1875,1941839230,2023-10-30T17:40:18.799
-132.5625,1941844727,2023-10-30T17:40:18.804
99.1875,1941850228,2023-10-30T17:40:18.810
78.0,1941855715,2023-10-30T17:40:18.815
103.5,1941861222,2023-10-30T17:40:18.821
40.875,1941866706,2023-10-30T17:40:18.826
82.125,1941872136,2023-10-30T17:40:18.832
55.875,1941877561,2023-10-30T17:40:18.837
-57.9375,1941883043,2023-10-30T17:40:18.843
-20.0625,1941888513,2023-10-30T17:40:18.848
-3.1875,1941893942,2023-10-30T17:40:18.854
13.125,1941899364,2023-10-30T17:40:18.859
-59.0625,1941904886,2023-10-30T17:40:18.865
-74.25,1941910360,2023-10-30T17:40:18.870
-65.8125,1941915799,2023-10-30T17:40:18.875
-108.9375,1941921227,2023-10-30T17:40:18.881
-99.1875,1941926779,2023-10-30T17:40:18.886
-90.0,1941932283,2023-10-30T17:40:18.892
-79.5,1941937726,2023-10-30T17:40:18.897
-56.4375,1941943212,2023-10-30T17:40:18.903
-86.8125,1941948679,2023-10-30T17:40:18.908
-67.3125,1941954165,2023-10-30T17:40:18.914
-69.5625,1941959653,2023-10-30T17:40:18.919
15.1875,1941965165,2023-10-30T17:40:18.925
286.125,1941970673,2023-10-30T17:40:18.930
417.375,1941976133,2023-10-30T17:40:18.936
380.25,1941981557,2023-10-30T17:40:18.941
327.1875,1941987061,2023-10-30T17:40:18.947
448.3125,1941992533,2023-10-30T17:40:18.952
494.8125,1941997973,2023-10-30T17:40:18.958
423.5625,1942003468,2023-10-30T17:40:18.963
381.75,1942008943,2023-10-30T17:40:18.969
467.25,1942014385,2023-10-30T17:40:18.974
829.125,1942019814,2023-10-30T17:40:18.979
-6143.8125,1942025303,2023-10-30T17:40:18.985
-3894.75,1942030774,2023-10-30T17:40:18.990
-6143.8125,1942036212,2023-10-30T17:40:18.996
-6143.8125,1942041679,2023-10-30T17:40:19.001
-6143.8125,1942047258,2023-10-30T17:40:19.007
-6143.8125,1942052816,2023-10-30T17:40:19.012
-6143.8125,1942058307,2023-10-30T17:40:19.018
-6143.8125,1942063914,2023-10-30T17:40:19.024
-6143.8125,1942069436,2023-10-30T17:40:19.029
-6143.8125,1942074886,2023-10-30T17:40:19.035
-6143.8125,1942080458,2023-10-30T17:40:19.040
-6143.8125,1942086035,2023-10-30T17:40:19.046
-6143.8125,1942091533,2023-10-30T17:40:19.051
-6143.8125,1942096995,2023-10-30T17:40:19.057
-6143.8125,1942102575,2023-10-30T17:40:19.062
-6143.8125,1942108106,2023-10-30T17:40:19.068
-6143.8125,1942113604,2023-10-30T17:40:19.073
-6143.8125,1942119040,2023-10-30T17:40:19.079
-6143.8125,1942124666,2023-10-30T17:40:19.084
-6143.8125,1942130443,2023-10-30T17:40:19.090
-6143.8125,1942136333,2023-10-30T17:40:19.096
-6143.8125,1942142237,2023-10-30T17:40:19.102
-6143.8125,1942148339,2023-10-30T17:40:19.108
-6143.8125,1942154413,2023-10-30T17:40:19.114
-6143.8125,1942160422,2023-10-30T17:40:19.120
-6143.8125,1942166454,2023-10-30T17:40:19.126
-6143.8125,1942172486,2023-10-30T17:40:19.132
-6143.8125,1942178527,2023-10-30T17:40:19.138
-6143.8125,1942184571,2023-10-30T17:40:19.144
-6143.8125,1942190895,2023-10-30T17:40:19.151
-6143.8125,1942196863,2023-10-30T17:40:19.157
-6143.8125,1942202994,2023-10-30T17:40:19.163
-6143.8125,1942209090,2023-10-30T17:40:19.169
-6143.8125,1942215154,2023-10-30T17:40:19.175
-6143.8125,1942221592,2023-10-30T17:40:19.182
-6143.8125,1942227884,2023-10-30T17:40:19.188
-6143.8125,1942233774,2023-10-30T17:40:19.193
-6143.8125,1942239602,2023-10-30T17:40:19.199
-6143.8125,1942245334,2023-10-30T17:40:19.205
-6143.8125,1942251175,2023-10-30T17:40:19.211
-6143.8125,1942257107,2023-10-30T17:40:19.217
-6143.8125,1942262913,2023-10-30T17:40:19.223
-6143.8125,1942268761,2023-10-30T17:40:19.228
-6143.8125,1942274530,2023-10-30T17:40:19.234
-6143.8125,1942280345,2023-10-30T17:40:19.240
-6143.8125,1942286063,2023-10-30T17:40:19.246
-6143.8125,1942292043,2023-10-30T17:40:19.252
-6143.8125,1942297890,2023-10-30T17:40:19.258
-6143.8125,1942303804,2023-10-30T17:40:19.264
-6143.8125,1942309690,2023-10-30T17:40:19.269
-6143.8125,1942315486,2023-10-30T17:40:19.275
-6143.8125,1942321281,2023-10-30T17:40:19.281
-6143.8125,1942327151,2023-10-30T17:40:19.287
-6143.8125,1942333385,2023-10-30T17:40:19.293
-6143.8125,1942339281,2023-10-30T17:40:19.299
-6143.8125,1942345149,2023-10-30T17:40:19.305
-6143.8125,1942351106,2023-10-30T17:40:19.311
-6143.8125,1942357508,2023-10-30T17:40:19.318
-6143.8125,1942363984,2023-10-30T17:40:19.324
-6143.8125,1942370047,2023-10-30T17:40:19.330
-6143.8125,1942375996,2023-10-30T17:40:19.336
-6143.8125,1942381872,2023-10-30T17:40:19.342
-6143.8125,1942387689,2023-10-30T17:40:19.347
-6143.8125,1942393606,2023-10-30T17:40:19.353
-6143.8125,1942399456,2023-10-30T17:40:19.359
-6143.8125,1942405318,2023-10-30T17:40:19.365
-6143.8125,1942411234,2023-10-30T17:40:19.371
-6143.8125,1942417175,2023-10-30T17:40:19.377
-6143.8125,1942422999,2023-10-30T17:40:19.383
-6143.8125,1942428851,2023-10-30T17:40:19.389
-6143.8125,1942434853,2023-10-30T17:40:19.395
-6143.8125,1942440688,2023-10-30T17:40:19.400
-6143.8125,1942446485,2023-10-30T17:40:19.406
-221.4375,1942452340,2023-10-30T17:40:19.412
-281.8125,1942458233,2023-10-30T17:40:19.418
-264.375,1942464051,2023-10-30T17:40:19.424
-251.0625,1942469897,2023-10-30T17:40:19.430
-239.25,1942475951,2023-10-30T17:40:19.436
-231.1875,1942481771,2023-10-30T17:40:19.441
-225.1875,1942487571,2023-10-30T17:40:19.447
-217.6875,1942493432,2023-10-30T17:40:19.453
-213.75,1942499286,2023-10-30T17:40:19.459
-189.5625,1942505200,2023-10-30T17:40:19.465
-206.0625,1942511194,2023-10-30T17:40:19.471
-202.125,1942517083,2023-10-30T17:40:19.477
-200.8125,1942523292,2023-10-30T17:40:19.483
-199.125,1942529229,2023-10-30T17:40:19.489
-196.5,1942535120,2023-10-30T17:40:19.495
-193.875,1942540966,2023-10-30T17:40:19.501
-191.625,1942546755,2023-10-30T17:40:19.506
-189.375,1942552679,2023-10-30T17:40:19.512
-186.9375,1942558568,2023-10-30T17:40:19.518
-185.0625,1942564390,2023-10-30T17:40:19.524
-183.5625,1942570189,2023-10-30T17:40:19.530
-181.6875,1942576042,2023-10-30T17:40:19.536
-179.0625,1942581919,2023-10-30T17:40:19.542
-174.75,1942587758,2023-10-30T17:40:19.547
-172.125,1942593622,2023-10-30T17:40:19.553
-175.875,1942599469,2023-10-30T17:40:19.559
-169.125,1942605306,2023-10-30T17:40:19.565
-167.625,1942611148,2023-10-30T17:40:19.571
-165.5625,1942617039,2023-10-30T17:40:19.577
-165.0,1942622934,2023-10-30T17:40:19.583
-165.9375,1942628767,2023-10-30T17:40:19.588
-36.1875,1942634642,2023-10-30T17:40:19.594
-158.25,1942640476,2023-10-30T17:40:19.600
-167.4375,1942646305,2023-10-30T17:40:19.606
-166.3125,1942652091,2023-10-30T17:40:19.612
-165.1875,1942657962,2023-10-30T17:40:19.618
-163.875,1942663787,2023-10-30T17:40:19.624
-162.1875,1942669582,2023-10-30T17:40:19.629
-162.1875,1942675510,2023-10-30T17:40:19.635
-161.25,1942681348,2023-10-30T17:40:19.641
-129.1875,1942687197,2023-10-30T17:40:19.647
-156.5625,1942692976,2023-10-30T17:40:19.653
